log_id,product_id,created_at,tamper_type,resolution_status,settling_time,renewal_cycle,location,pushed_at,drift,details
1,101,"2025-06-04 14:21:03",sensor_tamper,detected,1.25,30,warehouse1,"2025-06-04 23:15:43",,
2,1.21121121121121e+35,"2025-06-04 22:40:06",firmware,detected,,,,"2025-06-04 23:15:43",,
3,1.21121121121121e+35,"2025-06-04 22:40:21",firmware,detected,,,,"2025-06-04 23:15:43",,
4,1.21121121121121e+35,"2025-06-04 22:48:49",firmware,detected,,,,"2025-06-04 23:15:43",,
5,1.21121121121121e+35,"2025-06-04 22:51:21",firmware,detected,,265,,"2025-06-04 23:15:43",,
6,121,"2025-06-04 22:52:19",firmware,detected,,265,,"2025-06-04 23:15:43",,
7,121,"2025-06-04 22:19:25",magnetic,detected,,121,,"2025-06-04 23:15:43",,
8,121,"2025-06-04 22:19:35",magnetic,detected,,121,,"2025-06-04 23:15:43",,
9,121,"2025-06-04 22:19:39",magnetic,detected,,121,,"2025-06-04 23:15:43",,
10,121,"2025-06-04 22:19:54",magnetic,detected,,121,,"2025-06-04 23:15:43",,
11,121,"2025-06-04 22:21:41",magnetic,detected,,121,,"2025-06-04 23:15:43",,
12,121,"2025-06-04 22:22:10",magnetic,detected,,121,,"2025-06-04 23:15:43",,
13,121,"2025-06-04 22:22:14",magnetic,detected,,121,,"2025-06-04 23:15:43",,
14,121,"2025-06-04 22:22:17",magnetic,detected,,121,,"2025-06-04 23:15:43",,
15,121,"2025-06-04 22:24:00",magnetic,detected,,265,,"2025-06-04 23:15:43",,
16,121,"2025-06-04 22:24:08",magnetic,detected,,265,,"2025-06-04 23:15:43",,
17,121,"2025-06-04 22:24:12",magnetic,detected,,265,,"2025-06-04 23:15:43",,
18,121,"2025-06-04 22:24:16",magnetic,detected,,265,,"2025-06-04 23:15:43",,
19,121,"2025-06-04 15:51:27",magnetic,detected,,,,"2025-06-04 23:15:43",,
20,121,"2025-06-04 15:51:45",magnetic,detected,,,,"2025-06-04 23:15:43",,
21,121,"2025-06-04 15:51:47",magnetic,detected,,,,"2025-06-04 23:15:43",,
22,121,"2025-06-04 15:51:48",magnetic,detected,,,,"2025-06-04 23:15:43",,
23,121,"2025-06-04 15:51:54",magnetic,detected,,,,"2025-06-04 23:15:43",,
24,121,"2025-06-04 15:52:00",magnetic,detected,,,,"2025-06-04 23:15:43",,
25,121,"2025-06-04 15:52:06",magnetic,detected,,,,"2025-06-04 23:15:43",,
26,121,"2025-06-04 15:52:09",magnetic,detected,,,,"2025-06-04 23:15:43",,
27,121,"2025-06-04 15:52:10",magnetic,detected,,,,"2025-06-04 23:15:43",,
28,121,"2025-06-04 15:52:35",magnetic,detected,,,,"2025-06-04 23:15:43",,
